id,description,link,shipping_settings,condition,title,availability,brand,sale_price,price,custom_label_0,image_link,custom_label_1,custom_label_2
10670,[스마트 칫솔살균기] 칫솔+양치컵 올인원 AI로 케어하는 칫솔살균기,https://www.wadiz.kr/web/store/detail/10670?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10670,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,랩온랩 올인원 스마트 무선 칫솔 소독 살균기 1-2인용 UV히팅 건조기,in stock,와디즈,27800 KRW,32800.0 KRW,10670,https://cdn2.wadiz.kr/2025/01/21/4699b640-a338-4a19-88e8-2f52891f54f2.jpeg/wadiz/resizecrop/500x500/format/jpg,,ABC
10671,[원피스] 온종일 입고 일해도 편안한 두루두루 밴딩 U넥 만능 원피스,https://www.wadiz.kr/web/store/detail/10671?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10671,,new,[원피스] 온종일 입고 일해도 편안한 두루두루 밴딩 U넥 만능 원피스,in stock,와디즈,219000 KRW,219000.0 KRW,10671,https://cdn2.wadiz.kr/2025/01/21/b436a30b-a8f9-46f6-94cd-ff70afd17283.jpeg/wadiz/resizecrop/500x500/format/jpg,,
10672,[원피스] 온종일 입고 일해도 편안한 두루두루 밴딩 V넥 만능원피스,https://www.wadiz.kr/web/store/detail/10672?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10672,,new,[원피스] 온종일 입고 일해도 편안한 두루두루 밴딩 V넥 만능원피스,in stock,와디즈,219000 KRW,219000.0 KRW,10672,https://cdn2.wadiz.kr/2025/01/21/f92ca6f8-1a04-480c-b7e6-df974cbb3239.jpeg/wadiz/resizecrop/500x500/format/jpg,,
10673,[백팩] 못생긴 노트북 백팩은 안녕! 어떤 옷에도 어울리는 이지백팩,https://www.wadiz.kr/web/store/detail/10673?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10673,,new,[백팩] 못생긴 노트북 백팩은 안녕! 어떤 옷에도 어울리는 이지백팩,in stock,와디즈,320000 KRW,320000.0 KRW,10673,https://cdn2.wadiz.kr/2025/01/21/18a9178e-6674-4cef-af95-919b360d1c26.jpeg/wadiz/resizecrop/500x500/format/jpg,,
10674,"[스트랩파우치] 태블릿을 한층 더 안전하고 멋스럽게, 핸들 스트랩 파우치",https://www.wadiz.kr/web/store/detail/10674?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10674,,new,"[스트랩파우치] 태블릿을 한층 더 안전하고 멋스럽게, 핸들 스트랩 파우치",in stock,와디즈,66000 KRW,66000.0 KRW,10674,https://cdn2.wadiz.kr/2025/02/04/717631e7-d790-4882-b815-e92bf7d537f1.jpg/wadiz/resizecrop/500x500/format/jpg,,
10705,[토퍼]압도적 1등ㅣ토퍼 하나로 1천만원대 최상급 매트리스의 만족감,https://www.wadiz.kr/web/store/detail/10705?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10705,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,아이잠 숨비토퍼 SS Q,in stock,와디즈,343500 KRW,410000.0 KRW,10705,https://cdn2.wadiz.kr/2025/01/31/4291eee3-04e2-4ed6-95a2-880a79cc0030.jpeg/wadiz/resizecrop/500x500/format/jpg,,
10706,[자석블럭] 역대급구성&가격 특별공개ㅣ원조 국민 자석블럭 '벨베이비',https://www.wadiz.kr/web/store/detail/10706?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10706,,new,[자석블럭] 역대급구성&가격 특별공개ㅣ원조 국민 자석블럭 '벨베이비',in stock,와디즈,29900 KRW,60000.0 KRW,10706,https://cdn2.wadiz.kr/2025/01/31/1fcf6509-af50-4cc3-a78c-e785deba995e.jpeg/wadiz/resizecrop/500x500/format/jpg,,
10724,<명탐정코난> FW에디션(트레이닝복/가방/키링/잠옷/신발/텀블러),https://www.wadiz.kr/web/store/detail/10724?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10724,,new,<명탐정코난> FW에디션(트레이닝복/가방/키링/잠옷/신발/텀블러),in stock,와디즈,69900 KRW,69900.0 KRW,10724,https://cdn2.wadiz.kr/2025/02/03/4d6fb3d1-adba-47a8-8296-0fae726b89d8.jpeg/wadiz/resizecrop/500x500/format/jpg,,
10726,*개인결제,https://www.wadiz.kr/web/store/detail/10726?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10726,,new,*개인결제,in stock,와디즈,36000 KRW,36000.0 KRW,10726,https://cdn2.wadiz.kr/2025/02/03/ab284f6a-c734-41fc-8167-fa9ab7f989fc.jpg/wadiz/resizecrop/500x500/format/jpg,,
10743,[보조배터리] 보바 고속충전 일체형 대용량 보조배터리 20000mAh,https://www.wadiz.kr/web/store/detail/10743?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10743,,new,[보조배터리] 보바 고속충전 일체형 대용량 보조배터리 20000mAh,in stock,와디즈,39900 KRW,39900.0 KRW,10743,https://cdn2.wadiz.kr/2025/02/21/d9c7b327-2ffe-4f52-b70a-27f79c659e86.jpg/wadiz/resizecrop/500x500/format/jpg,,
10744,[보조배터리] 보바 고속충전 일체형 미니 보조배터리 10000mAh,https://www.wadiz.kr/web/store/detail/10744?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10744,,new,[보조배터리] 보바 고속충전 일체형 미니 보조배터리 10000mAh,in stock,와디즈,32900 KRW,32900.0 KRW,10744,https://cdn2.wadiz.kr/2025/02/21/91416c57-86ad-4013-8877-cd4df240e27c.jpg/wadiz/resizecrop/500x500/format/jpg,,
